Time,FP1,FP2,C3,C4,O1,O2,SPR1,SPR2,ECG1,ECG2
0.945,257.792,138.944,305.174,67.243,-53.786,-14.659,-176.757,-351.689,-9.037,-60.815
0.950,217.912,124.288,241.639,32.210,-140.354,27.116,-176.887,-328.620,-22.662,-78.301
0.955,215.086,38.770,211.054,10.775,-148.763,-24.745,-177.170,-321.720,-54.153,-53.820
0.960,221.262,31.886,190.610,52.911,-143.797,-59.298,-176.244,-346.010,-57.821,-47.048
0.965,154.730,120.841,138.208,116.767,-165.901,-57.781,-176.889,-373.642,-30.015,-47.009
0.970,61.175,100.600,87.509,128.826,-80.759,-48.553,-175.814,-332.215,-36.187,-36.702
0.975,26.273,76.771,84.780,122.359,-47.659,-65.765,-176.226,-309.945,-26.440,-36.345
0.980,-36.548,51.323,-20.779,5.154,-133.648,-11.547,-176.136,-322.663,-40.488,-23.752
0.985,-32.867,80.133,-95.073,-124.376,-165.153,23.280,-175.005,-380.166,-40.039,-31.901
0.990,-31.218,111.968,-150.155,-116.364,-150.133,37.986,-175.069,-342.209,-43.542,-26.388
0.995,-49.650,104.646,-139.690,-93.478,-77.900,-19.882,-174.133,-311.636,-42.742,-46.697
1.000,-31.776,84.266,-27.695,-55.500,-127.759,-146.567,-174.089,-306.658,-15.406,-34.470
1.005,-21.567,39.304,-13.791,-45.946,-259.835,-230.503,-174.751,-367.784,-15.364,-28.784
1.010,-56.357,27.965,-113.650,-68.088,-347.269,-261.465,-173.940,-353.201,-26.136,-48.605
1.015,79.538,64.478,-17.492,-35.413,-267.364,-177.215,-174.344,-305.736,-7.512,-64.666
1.020,161.994,111.673,111.218,4.581,-179.617,-98.521,-174.036,-294.744,-19.809,-63.182
1.025,87.493,94.752,35.972,7.673,-86.425,-60.460,-172.907,-258.946,-35.452,-108.512
1.030,101.598,40.015,62.174,-14.236,-54.185,-4.334,-172.309,-338.338,-21.037,-97.902
1.035,88.907,-28.015,86.095,2.972,-65.329,26.261,-173.048,-366.127,0.052,-110.741
1.040,-5.518,-47.092,90.835,18.568,-48.523,64.474,-170.902,-299.957,-0.846,-99.127
1.045,-9.404,-70.482,137.650,33.255,26.734,73.613,-171.312,-310.240,-5.373,-104.799
1.050,-29.474,-56.774,188.487,28.776,30.023,46.659,-170.245,-386.207,-1.440,-105.420
1.055,-120.486,-17.434,167.423,7.587,-35.087,-27.511,-169.051,-368.206,-8.764,-112.190
1.060,-112.483,-29.996,97.927,-35.309,18.868,-35.838,-168.965,-294.453,-5.406,-125.166
1.065,-60.270,-76.738,39.547,-72.639,-78.127,-23.851,-168.970,-265.003,3.973,-116.735
1.070,-12.511,-125.922,41.395,-89.236,-138.348,2.063,-169.023,-319.031,17.449,-94.921
1.075,-6.278,-140.945,45.190,-148.493,-79.408,42.671,-168.177,-325.756,18.013,-99.881
1.080,-59.596,-151.563,60.720,-135.451,4.589,20.046,-167.313,-316.063,-1.519,-115.841
1.085,-62.932,-155.159,137.240,-58.539,32.393,-79.532,-167.029,-299.676,17.765,-99.349
1.090,-24.472,-187.740,196.581,-70.905,94.430,-117.343,-165.904,-285.310,-2.194,-110.946
1.095,45.297,-173.797,130.638,-122.597,137.062,-71.323,-166.128,-290.852,11.681,-65.162
1.100,130.638,-204.759,97.330,-129.782,49.649,-35.864,-165.239,-309.593,13.050,-7.245
1.105,79.980,-236.928,50.210,-142.058,16.849,10.850,-164.232,-330.366,50.339,69.000
1.110,104.958,-212.472,-30.262,-145.829,115.703,52.599,-163.137,-275.238,22.730,158.339
1.115,136.166,-158.365,-123.221,-127.881,65.358,56.390,-162.964,-262.245,-0.713,291.108
1.120,145.696,-126.729,-181.595,-115.795,11.482,22.191,-162.043,-293.053,-86.774,439.842
1.125,206.801,-71.943,-72.435,-95.742,37.052,-9.263,-161.358,-337.568,-163.019,460.651
1.130,139.272,-115.253,7.310,-102.128,-17.977,-69.240,-160.295,-271.878,-176.001,231.688
1.135,87.884,-130.427,33.259,-79.102,-85.923,-138.944,-159.870,-251.177,-157.011,-209.561
1.140,132.185,-63.670,54.129,-45.244,-8.567,-64.715,-158.081,-276.697,-77.815,-400.347
